Country,product,Year,qty_thousands,price_per_thousands,US_inflation_adjusted_price,country_category
Spain,plastic bag,2018,1348.17,6.16,6.50354210457952,EU
Sweden,textile bag,2018,0.0014399999999999999,36960.0,39021.25262747712,EU
Sweden,paper bag,2018,26.88456692913386,236.855,250.06436123054903,EU
Sweden,plastic bag,2018,15.44,90.51,95.55772660478773,EU
Austria,textile bag,2019,0.00492,5550.0,5719.9555965,EU
Austria,paper bag,2019,25.05291338582677,205.74,212.0402998962,EU
Austria,plastic bag,2019,1.49,465.29,479.5384035127,EU
Belgium,textile bag,2019,0.009970000000000001,12700.0,13088.907401,EU
Belgium,paper bag,2019,41.17858267716536,304.165,313.47933225395,EU
Belgium,plastic bag,2019,425.24,3.97,4.0915718411,EU
Bulgaria,paper bag,2019,0.028818897637795278,2223.1349999999998,2291.2132405450498,EU
Bulgaria,plastic bag,2019,2.51,12.28,12.656045896399998,EU
China,textile bag,2019,189.97245,2880.0,2968.1931744000003,China
China,paper bag,2019,2480.509448818898,212.725,219.23919896675,China
China,plastic bag,2019,64355.54,8.85,9.1210102755,China
Croatia,plastic bag,2019,9.86,3.83,3.9472846729,EU
Cyprus,paper bag,2019,0.19401574803149607,497.205,512.4307247491499,EU
Czech Republic,textile bag,2019,0.004019999999999999,4670.0,4813.0076821,EU
Czech Republic,paper bag,2019,9.224724409448818,217.17,223.8203165571,EU
Czech Republic,plastic bag,2019,10.61,26.37,27.1775187531,EU
Denmark,textile bag,2019,0.00127,17550.0,18087.427156499998,EU
Denmark,paper bag,2019,8.479685039370079,302.26,311.5159961438,EU
Denmark,plastic bag,2019,101.97,6.22,6.410472758599999,EU
Estonia,textile bag,2019,0.0103,151560.0,156201.1658028,EU
Finland,textile bag,2019,8.999999999999999e-05,44630.0,45996.6879769,EU
Finland,paper bag,2019,43.30110236220472,178.435,183.89914898405,EU
Finland,plastic bag,2019,2.71,119.92,123.5922657896,EU
France,textile bag,2019,0.08609,8260.0,8512.9429238,EU
France,paper bag,2019,146.73448818897637,261.62,269.6314924606,EU
France,plastic bag,2019,301.71,36.2,37.308539206,EU
Germany,textile bag,2019,0.0773,8010.0,8255.2872663,EU
Germany,paper bag,2019,1118.5511811023623,233.045,240.18145080835,EU
Germany,plastic bag,2019,1131.29,29.87,30.7846979581,EU
Greece,paper bag,2019,1.7609448818897637,232.41,239.5270054383,EU
Greece,plastic bag,2019,33.84,5.86,6.0394486118,EU
Hungary,textile bag,2019,0.00062,28550.0,29424.276086500002,EU
Hungary,paper bag,2019,2.282047244094488,297.815,306.93487855344995,EU
Hungary,plastic bag,2019,6.48,6.28,6.4723101164,EU
India,textile bag,2019,2.7636700000000003,1520.0,1566.5463975999999,India
India,paper bag,2019,162.79401574803148,156.21,160.99356103230002,India
India,plastic bag,2019,10322.68,8.14,8.3892682082,India
Ireland,textile bag,2019,0.00764,21440.0,22096.5491872,EU
Ireland,paper bag,2019,1.6015748031496064,257.81,265.70482024029997,EU
Ireland,plastic bag,2019,149.15,5.45,5.6168933335,EU
Italy,textile bag,2019,0.08397,25480.0,26260.264612400002,EU
Italy,paper bag,2019,182.07905511811023,223.52,230.36477025760001,EU
Italy,plastic bag,2019,159.24,11.1,11.439911193,EU
Latvia,paper bag,2019,0.0662992125984252,1657.985,1708.7568612005498,EU
Lithuania,textile bag,2019,0.00016,17190.0,17716.4030097,EU
Lithuania,paper bag,2019,0.09732283464566929,694.055,715.3087894646499,EU
Luxembourg,paper bag,2019,0.20031496062992127,147.32,151.83132585159998,EU
Netherlands,textile bag,2019,0.0039700000000000004,22360.0,23044.7220068,EU
Netherlands,paper bag,2019,133.08551181102362,189.865,195.67916564495,EU
Netherlands,plastic bag,2019,67.14,47.77,49.232843035100004,EU
Poland,textile bag,2019,0.00517,8560.0,8822.129712799999,EU
Poland,paper bag,2019,97.33685039370079,237.49,244.7625683987,EU
Poland,plastic bag,2019,23.7,53.55,55.189841836499994,EU
Portugal,textile bag,2019,0.00653,6700.0,6905.171621,EU
Portugal,paper bag,2019,26.599999999999998,174.625,179.97247676375,EU
Portugal,plastic bag,2019,31.79,8.84,9.1107040492,EU
Romania,textile bag,2019,0.00377,9620.0,9914.5897006,EU
Romania,paper bag,2019,0.4825196850393701,147.955,152.48577122165003,EU
Romania,plastic bag,2019,0.13,124.93,128.75568516590002,EU
Slovakia,paper bag,2019,0.9700787401574803,154.305,159.03022492215,EU
Slovakia,plastic bag,2019,3.8,39.23,40.431325774899996,EU
Slovenia,paper bag,2019,0.31748031496062995,479.425,494.10625438775,EU
Slovenia,plastic bag,2019,21.14,5.85,6.029142385499999,EU
Spain,textile bag,2019,0.18428999999999998,4560.0,4699.6391928,EU
Spain,paper bag,2019,385.3903937007874,160.655,165.57467862265,EU
Spain,plastic bag,2019,666.22,7.4,7.626607462,EU
Sweden,textile bag,2019,0.004059999999999999,5340.0,5503.5248442,EU
Sweden,paper bag,2019,47.7163779527559,184.785,190.44360268454997,EU
Sweden,plastic bag,2019,39.4,28.88,29.7643815544,EU
Austria,textile bag,2020,0.0015,8070.0,8169.2609999999995,EU
Austria,paper bag,2020,30.872598425196852,173.99,176.130077,EU
Austria,plastic bag,2020,317.59,2.9,2.93567,EU
Belgium,textile bag,2020,0.0034500000000000004,11530.0,11671.819,EU
Belgium,paper bag,2020,17.13196850393701,659.765,667.8801095,EU
Belgium,plastic bag,2020,37.02,58.26,58.976597999999996,EU
Bulgaria,paper bag,2020,0.07874015748031496,621.03,628.6686689999999,EU
Bulgaria,plastic bag,2020,1.28,10.35,10.477305,EU
China,textile bag,2020,137.56989000000002,2680.0,2712.964,China
China,paper bag,2020,1902.3425196850394,198.755,201.19968649999998,China
China,plastic bag,2020,75396.38,8.16,8.260368,China
Croatia,plastic bag,2020,0.02,2242.88,2270.467424,EU
Cyprus,paper bag,2020,0.14724409448818898,470.535,476.3225805,EU
Czech Republic,textile bag,2020,0.00847,9030.0,9141.069,EU
Czech Republic,paper bag,2020,2.81763779527559,221.615,224.3408645,EU
Czech Republic,plastic bag,2020,0.91,272.83,276.185809,EU
Denmark,textile bag,2020,0.00126,13460.0,13625.557999999999,EU
Denmark,paper bag,2020,3.7543307086614175,430.53000000000003,435.82551900000004,EU
Denmark,plastic bag,2020,3.06,132.02,133.643846,EU
Estonia,textile bag,2020,0.00608,221380.0,224102.974,EU
Finland,textile bag,2020,0.00025,79980.0,80963.754,EU
Finland,paper bag,2020,62.582519685039365,158.115,160.05981450000002,EU
Finland,plastic bag,2020,53.16,8.74,8.847502,EU
France,textile bag,2020,0.051840000000000004,147150.0,148959.945,EU
