Country,product,Year,values,price_per_thousands,US_inflation_adjusted_price,qty_in_thousands
Indonesia,plastic bag,2019,8484307,5.65,5.8230178595,1501647.2566371681
Ireland,textile bag,2019,757244,21440.0,22096.5491872,35.31921641791045
Ireland,paper bag,2019,6319266,257.81,265.70482024029997,24511.330049261083
Ireland,plastic bag,2019,1951675,5.45,5.6168933335,358105.50458715594
Israel,textile bag,2019,444096,3410.0,3514.4231683,130.23343108504397
Israel,paper bag,2019,14793988,613.41,632.1942274682999,24117.617906457348
Israel,plastic bag,2019,11374926,3.32,3.4216671315999996,3426182.530120482
Italy,textile bag,2019,5258290,25480.0,26260.264612400002,206.3693092621664
Italy,paper bag,2019,64634838,223.52,230.36477025760001,289168.0297065139
Italy,plastic bag,2019,8947901,11.1,11.439911193,806117.2072072072
Japan,textile bag,2019,720721,3170.0,3267.0737371,227.35678233438486
